Genuine_Score,Impostor_Score
-6.824735975179996,31.86134970784794
-0.34709515391451085,12.873468708300088
15.392568093668835,-25.707051116935197
39.692202778376135,21.391448229214557
32.98301682234072,-21.273531004422384
-24.880996644514525,0.8992273956235866
45.30430050794664,-3.552995879460977
1.5036437095690403,16.87455948667232
13.841179400137941,-11.52550943900654
4.183558322143033,-20.46818574747866
-47.30275842769278,10.223484959365873
17.69877098169146,26.692616131198314
39.7293612620027,21.809549846700467
3.1832371404846356,-21.83142677605143
13.40797504336503,-52.67312939129743
50.39254332394975,-11.969285199504084
59.84780395962236,62.48779641686448
-4.808296547827122,21.55547996374683
25.001565541450578,12.522265524835428
10.482822060189163,33.5939074923733
12.996870132839117,13.996947532171664
-15.84371596842249,-3.61248077214
8.701433220545715,9.895996092674457
16.067258402407244,-32.93007690030184
17.778247218396867,-17.49238443864768
2.965653257983634,-0.051355458036637186
48.218494134675,-14.071120708647433
18.337503169776802,10.614302953753093
9.723652980689955,1.6228135597478965
48.46091565432118,14.055467836967328
48.24476116837849,-10.059448672221368
22.48087751484529,-4.05008794878861
34.99908155996641,14.012499372147216
21.481592948653976,-15.52655068628497
-15.66855786554602,-30.423463042316854
-19.50408758238169,34.952882597333414
25.223349853896412,-6.426485826767424
15.734208676034024,-8.0105127046787
25.13667768511467,2.6617477660430975
7.551045355022427,-1.194080938196829
72.22465663054801,23.70666667497852
86.06038847077191,-15.095428165262556
38.83347059134906,-33.27525919264043
49.902018904224384,-18.76968856528919
32.05200877939657,12.262010404730779
30.150183327379516,18.59899253185244
5.780625356401963,9.224253083568671
11.37826377591578,-6.877415855896725
-15.976578764626653,-0.4886136554293575
84.71248841389927,25.76541977096177
-4.740110578320813,-12.919197744411479
24.25223148239363,-1.7125648812195051
9.55039089910755,16.822516737838864
21.50391890541949,-3.325775046898733
70.5469539183889,-10.157840729340299
8.273634604885906,-21.07276986629813
-12.02758694392749,16.46622904823044
22.99070713443854,0.15253933285131716
23.004782842592846,-17.115984619853066
-15.41654677276015,36.98695877366081
46.29189274332225,3.948806861681304
17.12040281800881,4.308996981254822
22.46726801188047,27.885094473527257
31.67990557521991,-31.823349665741134
42.85832254694805,-10.462670513036002
13.806743075763608,-5.46281348441305
33.932972790252755,-20.13138016466952
-8.57408948586515,-4.210890634403356
-4.852480462906155,14.530977663331349
38.40200724761142,5.0037746839144885
18.34521629043578,2.9883695359666516
21.666942831649777,-7.855013450304438
-5.0896323882842305,-5.379680572009299
2.671842330574552,27.894960301841166
41.10864316230748,2.219173919404522
6.3947558870623045,3.3829805676924
-11.742437394280328,18.425890631093726
12.138206467473921,8.623302735847245
24.223000656344947,-4.391079187342092
27.68762854600686,-17.036036149077685
21.708366606987184,-21.89924436183873
22.640299618172044,-27.63014324016923
16.30869778467143,-23.536162297908675
-4.518974284770896,30.055105361918493
31.884841335871627,-39.47572977089826
10.699617970411927,45.28620958567641
61.08288261666294,12.035141935859816
12.071590556972549,-7.793154921413585
35.68290210444348,15.032094391050062
13.68776085772469,6.622206400066168
48.766659280583035,47.03372868894088
10.690672568282865,-20.390193232085274
59.56207971872289,-10.180069522934367
5.808886992394241,-1.1613501149284693
-18.597129566881573,18.80165819969131
6.221626448125635,31.17909023668348
83.83663526083073,28.62562933289041
14.678112860598235,1.8764705525205603
-1.5536458366987793,7.013581158694783
15.154481936289386,1.2422802564117261
41.131294790391614,11.712183769335049
10.927739288243316,-13.134358449154254
-7.691257611089579,-13.635782943694085
60.83490568921292,-27.986466670910087
7.606797679083848,25.79977549536973
69.44889003444555,23.9369632059096
26.258629219739486,-5.795766972572147
22.597098730986865,24.208045130100942
-10.721097998505119,-1.2208069635539793
73.15493810418702,18.711660298762716
-18.476144758782375,7.338124445881964
23.60174104102961,4.558175224778496
13.728963898924276,-4.865256435858416
-40.65965539183638,-36.91587531131939
14.898373196678717,28.792861311027668
-14.724763600080905,-4.935909621354574
-2.5736665965840726,12.805888768167826
-10.978181442753378,3.315248975344951
39.50797210591909,51.11823612461303
-17.611919656501144,2.1485286581297007
-9.648605551034597,-12.492753984513286
33.84561868124665,24.44256457690139
6.274120424867202,17.973044088226178
50.04561868479628,50.11546993070362
112.9284971016752,-36.4228072163611
40.292673000143616,-8.717649187743422
13.15220599189056,4.89210993562264
5.249437994560108,3.0273559024170327
-14.117345980647737,-19.96797557805352
12.909055659809335,-10.636599406981729
-24.3752406077129,22.9355686757208
8.329005276296558,9.012376613097967
5.390266450532984,-17.4919244366751
34.630598723456636,-7.630723537017543
35.57857468787001,19.133717486819556
-6.629650369388886,-14.046902771788448
-9.42437165675994,-30.134905670644862
47.940289912808275,19.707863430051614
24.192830021980516,28.791008141562592
-30.647003783627813,-12.672248963729528
42.92958759954283,7.9719482284261
63.84278798828292,-9.855416307208554
52.447175763074284,-19.96741859317803
-1.4881894821311055,17.674432114248496
25.486474735110576,-22.146449184509027
46.148925992635476,-24.04265343438675
-18.188305134647383,-27.9421113876005
-13.197090593464855,-18.939874214861007
82.75230997781827,-27.95743299697628
50.501649698989766,-2.7688112608681967
41.024895920833025,34.59551199222358
40.287653525979934,-3.2773156297293378
41.98118166060299,-6.169595337079464
-7.517015793736822,-41.92834544487992
30.67130446150967,16.697380787651692
29.225568795801024,-4.407098204505563
9.021443914162075,1.3045484270582623
90.97006175885608,0.3016981041228313
24.105914372982316,-16.473774080133403
15.522792258758145,-2.755433960668766
1.0873895535688187,-29.314551765357475
-49.000091945756175,19.9290480841513
17.177008454630222,-4.559794689882511
19.143566227404627,0.4001928213458628
-9.249344701198044,10.61482537312402
29.20247914490779,-6.618873962442533
49.351441280696896,1.9525838168875456
58.28323421158051,-27.429215970117884
25.813355129679245,-0.6850844876135821
-1.0379357830747198,-23.30873791564466
26.8359772906091,19.80436174647396
40.85407191146688,29.66498973775204
28.378933955537967,22.14341466861442
18.00228280243859,30.034813977429287
-6.042344196478414,-46.18269543196173
23.84703237070394,-21.406036716884397
53.16038681237675,-4.571891115163169
14.95104523287923,3.1792335470057056
-22.12902230262071,-6.917310185995793
-4.950191407735701,13.084808085505887
-9.826095938495772,10.753024526314354
