Image,Memory_Bytes
3.737296095212571,334448
-1.5329138419070256,334185
-7.827473996479929,334013
-0.172676726603008,334445
0.2726273271240202,334198
-4.777581111337419,334286
1.8723923088862195,334014
-4.442060828895409,334162
-7.121438034016398,334137
2.9175780016222994,334375
-2.461191339294115,334390
0.527832677119159,334316
2.0024346906733435,334382
5.481802113998265,334086
2.025087207758185,334371
0.9697959500482084,334330
6.250427511232381,334134
-3.07893559317227,334177
8.106411892977924,334129
-1.846841995594516,334138
1.2856623671570766,334291
-4.714736840912414,334366
-5.081096698713947,334341
-4.846787744464256,334440
-4.958190291773413,334351
-2.9395983299422355,334440
-4.334557621529282,334355
-4.610058871873958,334384
-7.292069941920204,334116
2.1588163699225973,334449
6.8726856922138,334455
4.503611010258034,334381
-1.746321663815766,334392
3.5777258106636296,334309
0.0498314663203984,334471
-2.5439779172312287,334175
-4.886129620656611,334277
2.617811202959002,334452
5.295463810107254,334095
3.2935026592320984,334494
-5.75573450259791,334318
-3.5143278321621185,334474
-7.583328777067139,334129
-4.926750755422159,334424
-3.9026297239793752,334509
-4.908636205983658,334179
-2.939533367808938,334272
-0.94033386088614,334454
-3.2208175210992707,334391
-4.539025430427759,334398
-5.113926722484365,334402
-3.488523213732334,334306
-3.52334261203829,334440
-5.882329532931054,334247
-7.421572357851489,334460
-6.383227321757229,334164
-7.354157450398926,334111
-5.541967614156527,334368
-6.641676532666249,334230
-6.476753058307455,334523
-2.556417367684718,334197
-3.387234213119138,334433
6.433109144619841,334449
3.165243088083889,334151
4.710874744437408,334405
3.7911799817325846,334166
4.436073350097594,334109
2.9402392753427726,334358
-6.779959684417979,334367
-6.736089739117422,334463
-5.170737663713155,334417
-6.1559811467108645,334446
2.0142285929254165,334391
0.2165306559156548,334091
4.085802938900272,334161
2.345066878748579,334311
-1.6543114255661848,334479
6.429246589562682,334237
5.265184117636492,334353
8.841320048840611,334290
3.560120411458282,334472
5.546342940577851,334054
8.363517864997405,334105
4.642249068549912,334501
3.0012941970623643,334067
1.9622674827244813,334113
2.4967888213729523,334370
0.1106081750613157,334513
6.373372915836601,334321
6.4493600404355576,334426
-0.4668027011166895,334185
3.105440330077773,334233
3.490141219343494,334382
2.0522622284747705,334373
-0.842645883947573,334358
-0.2125152418850255,334407
-1.2710479482923782,334402
3.5639193367882243,334351
-0.9171377553131136,334166
0.5131007568217569,334136
-4.28869379752201,333775
-0.3109047325887255,334201
-4.505531269215503,334227
4.121337229803192,334160
0.4733617322352685,334364
6.2024199979436805,334095
8.428796862991799,334354
7.624499637062188,334244
6.266836650731051,334395
1.4618850202364726,334044
-0.159207619387093,334406
3.930238767777979,334476
4.188638292073303,334137
3.6999849551322654,334492
4.432940652987497,334197
-0.3743076020966525,334402
-2.225313004158483,334271
5.293550148314676,334443
-1.702612033785548,334204
0.3573960716711113,334360
4.106305104398977,333982
5.100099167709322,334370
-0.7542955118175474,334429
4.803782210003167,334300
3.053329105563833,334503
4.302444573451828,334397
5.20614134110615,334428
3.2594517623127004,334298
4.410967106632,334023
4.142329058688846,334480
5.446553264617181,333873
2.69927586425311,334408
2.496266020014108,334309
1.7500000741436956,334435
4.713079862893004,334429
-0.1787126212091632,334417
3.3149238105549887,333965
0.2235814130096542,334423
7.1237085871152885,334286
5.253419545251283,334408
1.366736478511326,334499
-1.4685666141759317,334050
2.9489012556220864,334457
-3.028617288501468,334072
4.150393898238418,334357
3.050847605924432,334084
-1.133279654367188,334260
3.531408648207755,334142
2.873733805960649,334472
-4.751968768033834,334353
-4.406852481343417,334083
-5.068826817154668,334307
9.637906802690043,333496
-5.292807994015508,334203
-4.120466466247575,334391
-4.096653302168036,334170
-2.9248206050579797,334310
-3.790019549320984,334316
0.6012632751049214,334117
-2.8916127131309857,334151
0.4106213369229081,334332
-1.7498536654522816,334153
-3.119606909975737,334195
-3.68907934667158,334498
-2.2308340460960068,334314
2.576446091817127,334452
-0.6831683162132691,334554
1.7689049327352286,334514
3.4094499406566783,334427
2.862101186990808,334377
-0.1324033850537596,334463
2.194357740114162,333351
3.1741186729251254,334216
-6.597937009660591,334401
0.7949978957340029,334424
-3.380145055438982,334115
3.579916736261488,334463
2.1265614846229948,334381
-4.41092484897101,334332
-7.282929158607815,334359
-4.815702285148262,334449
-3.857175689932708,334182
-5.865082247012216,333317
-7.480568810132626,334213
-4.637823791455322,334268
6.3436052067784185,334116
6.459055437667281,334444
-0.5030253696205795,334296
-7.246691256453188,334157
-4.131887019592803,334267
-5.074333173914821,334357
-5.192161919931206,334327
2.7572085102094075,334407
1.4415935037162644,334407
-2.591727478286709,334398
1.2730258996272603,334180
-4.323934181411291,334258
-6.602442485040811,334363
-4.940812637066893,334152
-2.5022825657906207,334448
1.0310059458243757,334385
-1.1361539342093847,334401
